date,date_frac,m.y,country,code,cases,outbreak
01/12/2016,2016.9172,Dec.16,Panama,PAN,0,
01/03/2017,2017.161537,Mar.17,Panama,PAN,317,
01/04/2017,2017.246412,Apr.17,Panama,PAN,305,
01/05/2017,2017.328549,May.17,Panama,PAN,407,
01/06/2017,2017.413424,Jun.17,Panama,PAN,200,
01/07/2017,2017.495562,Jul.17,Panama,PAN,200,
01/08/2017,2017.580437,Aug.17,Panama,PAN,607,
01/09/2017,2017.665312,Sep.17,Panama,PAN,431,
01/10/2017,2017.747449,Oct.17,Panama,PAN,21,
01/11/2017,2017.832324,Nov.17,Panama,PAN,5,
01/12/2017,2017.914462,Dec.17,Panama,PAN,0,
01/01/2018,2018,Jan.18,Panama,PAN,0,
01/02/2018,2018.085,Feb.18,Panama,PAN,0,e
01/12/2013,2013.914462,Dec.13,Paraguay,PRY,0,
01/01/2014,2014,Jan.14,Paraguay,PRY,0,
01/02/2014,2014.084875,Feb.14,Paraguay,PRY,1,
01/03/2014,2014.161537,Mar.14,Paraguay,PRY,0,
01/04/2014,2014.246412,Apr.14,Paraguay,PRY,0,
01/05/2014,2014.328549,May.14,Paraguay,PRY,21,
01/06/2014,2014.413424,Jun.14,Paraguay,PRY,37,
01/07/2014,2014.495562,Jul.14,Paraguay,PRY,0,
01/08/2014,2014.580437,Aug.14,Paraguay,PRY,0,
01/09/2014,2014.665312,Sep.14,Paraguay,PRY,0,s
01/10/2014,2014.747449,Oct.14,Paraguay,PRY,0,
01/11/2014,2014.832324,Nov.14,Paraguay,PRY,0,
01/12/2014,2014.914462,Dec.14,Paraguay,PRY,0,
01/01/2015,2015,Jan.15,Paraguay,PRY,0,
01/02/2015,2015.084875,Feb.15,Paraguay,PRY,196,
01/03/2015,2015.161537,Mar.15,Paraguay,PRY,175,
01/04/2015,2015.246412,Apr.15,Paraguay,PRY,565,
01/05/2015,2015.328549,May.15,Paraguay,PRY,494,
01/06/2015,2015.413424,Jun.15,Paraguay,PRY,1186,
01/07/2015,2015.495562,Jul.15,Paraguay,PRY,146,
01/08/2015,2015.580437,Aug.15,Paraguay,PRY,518,
01/09/2015,2015.665312,Sep.15,Paraguay,PRY,436,
01/10/2015,2015.747449,Oct.15,Paraguay,PRY,462,
01/11/2015,2015.832324,Nov.15,Paraguay,PRY,181,
01/12/2015,2015.914462,Dec.15,Paraguay,PRY,150,
01/01/2016,2016,Jan.16,Paraguay,PRY,9,
01/02/2016,2016.084875,Feb.16,Paraguay,PRY,9,
01/03/2016,2016.164275,Mar.16,Paraguay,PRY,8,
01/04/2016,2016.24915,Apr.16,Paraguay,PRY,0,
01/05/2016,2016.331287,May.16,Paraguay,PRY,0,e
01/06/2016,2016.416162,Jun.16,Paraguay,PRY,0,
01/07/2016,2016.498299,Jul.16,Paraguay,PRY,3,
01/08/2016,2016.583175,Aug.16,Paraguay,PRY,0,
01/09/2016,2016.66805,Sep.16,Paraguay,PRY,0,
01/10/2016,2016.750187,Oct.16,Paraguay,PRY,0,
01/11/2016,2016.835062,Nov.16,Paraguay,PRY,11,
01/12/2016,2016.9172,Dec.16,Paraguay,PRY,7,
01/02/2017,2017.084875,Feb.17,Paraguay,PRY,2,
01/04/2017,2017.246412,Apr.17,Paraguay,PRY,69,
01/05/2017,2017.328549,May.17,Paraguay,PRY,2,
