"","scenario","run","realyear","country","catchmentID","unpruned","pruned","averted","cum_vacc","cum_totvacc","cum_totaver_spillover","vaccinated_infected","spillover","h2h"
"164",1,"run24",4,"Nigeria","NGA.12_1",30234,30234,0,54.3762,216.9288,0,216.9288,28326,1908
"165",1,"run24",5,"Nigeria","NGA.12_1",30282,30282,0,54.3474,271.2762,0,271.2762,28326,1956
"166",1,"run24",6,"Nigeria","NGA.12_1",30168,30168,0,54.054,325.3302,0,325.3302,28326,1842
"167",1,"run24",7,"Nigeria","NGA.12_1",30244,30244,0,54.3348,379.665,0,379.665,28326,1918
"168",1,"run24",8,"Nigeria","NGA.12_1",30240,30240,0,54.1818,433.8468,0,433.8468,28326,1914
"169",1,"run24",9,"Nigeria","NGA.12_1",30224,30224,0,54.198,488.0448,0,488.0448,28326,1898
"170",1,"run24",10,"Nigeria","NGA.12_1",30214,30214,0,54.3078,542.3526,0,542.3526,28326,1888
"171",1,"run25",1,"Nigeria","NGA.12_1",30424,30424,0,54.5958,54.5958,0,54.5958,28435,1989
"172",1,"run25",2,"Nigeria","NGA.12_1",30360,30360,0,54.3942,108.99,0,108.99,28435,1925
"173",1,"run25",3,"Nigeria","NGA.12_1",30381,30381,0,54.414,163.404,0,163.404,28435,1946
"174",1,"run25",4,"Nigeria","NGA.12_1",30377,30377,0,54.5472,217.9512,0,217.9512,28435,1942
"175",1,"run25",5,"Nigeria","NGA.12_1",30375,30375,0,54.4356,272.3868,0,272.3868,28435,1940
"176",1,"run25",6,"Nigeria","NGA.12_1",30353,30353,0,54.4698,326.8566,0,326.8566,28435,1918
"177",1,"run25",7,"Nigeria","NGA.12_1",30344,30344,0,54.5562,381.4128,0,381.4128,28435,1909
"178",1,"run25",8,"Nigeria","NGA.12_1",30441,30441,0,54.6498,436.0626,0,436.0626,28435,2006
"179",1,"run25",9,"Nigeria","NGA.12_1",30296,30296,0,54.4266,490.4892,0,490.4892,28435,1861
"180",1,"run25",10,"Nigeria","NGA.12_1",30483,30483,0,54.7812,545.2704,0,545.2704,28435,2048
"181",1,"run26",1,"Nigeria","NGA.12_1",30463,30463,0,54.7542,54.7542,0,54.7542,28542,1921
"182",1,"run26",2,"Nigeria","NGA.12_1",30564,30564,0,54.8586,109.6128,0,109.6128,28542,2022
"183",1,"run26",3,"Nigeria","NGA.12_1",30499,30499,0,54.7848,164.3976,0,164.3976,28542,1957
"184",1,"run26",4,"Nigeria","NGA.12_1",30424,30424,0,54.6804,219.078,0,219.078,28542,1882
"185",1,"run26",5,"Nigeria","NGA.12_1",30381,30381,0,54.5904,273.6684,0,273.6684,28542,1839
"186",1,"run26",6,"Nigeria","NGA.12_1",30337,30337,0,54.4806,328.149,0,328.149,28542,1795
"187",1,"run26",7,"Nigeria","NGA.12_1",30412,30412,0,54.5148,382.6638,0,382.6638,28542,1870
"188",1,"run26",8,"Nigeria","NGA.12_1",30508,30508,0,54.8658,437.5296,0,437.5296,28542,1966
"189",1,"run26",9,"Nigeria","NGA.12_1",30488,30488,0,54.7632,492.2928,0,492.2928,28542,1946
"190",1,"run26",10,"Nigeria","NGA.12_1",30412,30412,0,54.6228,546.9156,0,546.9156,28542,1870
"191",1,"run27",1,"Nigeria","NGA.12_1",30532,30532,0,54.7218,54.7218,0,54.7218,28647,1885
"192",1,"run27",2,"Nigeria","NGA.12_1",30604,30604,0,54.9324,109.6542,0,109.6542,28647,1957
"193",1,"run27",3,"Nigeria","NGA.12_1",30477,30477,0,54.7758,164.43,0,164.43,28647,1830
"194",1,"run27",4,"Nigeria","NGA.12_1",30549,30549,0,54.9378,219.3678,0,219.3678,28647,1902
"195",1,"run27",5,"Nigeria","NGA.12_1",30583,30583,0,54.9792,274.347,0,274.347,28647,1936
"196",1,"run27",6,"Nigeria","NGA.12_1",30601,30601,0,54.9162,329.2632,0,329.2632,28647,1954
"197",1,"run27",7,"Nigeria","NGA.12_1",30528,30528,0,54.8118,384.075,0,384.075,28647,1881
"198",1,"run27",8,"Nigeria","NGA.12_1",30542,30542,0,54.8892,438.9642,0,438.9642,28647,1895
"199",1,"run27",9,"Nigeria","NGA.12_1",30547,30547,0,54.9072,493.8714,0,493.8714,28647,1900
"200",1,"run27",10,"Nigeria","NGA.12_1",30679,30679,0,55.1628,549.0342,0,549.0342,28647,2032
"201",1,"run28",1,"Nigeria","NGA.12_1",30625,30625,0,54.8856,54.8856,0,54.8856,28750,1875
"202",1,"run28",2,"Nigeria","NGA.12_1",30654,30654,0,54.9198,109.8054,0,109.8054,28750,1904
"203",1,"run28",3,"Nigeria","NGA.12_1",30658,30658,0,55.035,164.8404,0,164.8404,28750,1908
"204",1,"run28",4,"Nigeria","NGA.12_1",30623,30623,0,54.9054,219.7458,0,219.7458,28750,1873
"205",1,"run28",5,"Nigeria","NGA.12_1",30616,30616,0,55.0512,274.797,0,274.797,28750,1866
"206",1,"run28",6,"Nigeria","NGA.12_1",30766,30766,0,55.2654,330.0624,0,330.0624,28750,2016
"207",1,"run28",7,"Nigeria","NGA.12_1",30678,30678,0,55.0296,385.092,0,385.092,28750,1928
"208",1,"run28",8,"Nigeria","NGA.12_1",30662,30662,0,55.0458,440.1378,0,440.1378,28750,1912
"209",1,"run28",9,"Nigeria","NGA.12_1",30609,30609,0,54.8604,494.9982,0,494.9982,28750,1859
"210",1,"run28",10,"Nigeria","NGA.12_1",30619,30619,0,54.9324,549.9306,0,549.9306,28750,1869
"211",1,"run29",1,"Nigeria","NGA.12_1",30807,30807,0,55.2294,55.2294,0,55.2294,28852,1955
"212",1,"run29",2,"Nigeria","NGA.12_1",30866,30866,0,55.4544,110.6838,0,110.6838,28852,2014
"213",1,"run29",3,"Nigeria","NGA.12_1",30853,30853,0,55.4436,166.1274,0,166.1274,28852,2001
"214",1,"run29",4,"Nigeria","NGA.12_1",30770,30770,0,55.2024,221.3298,0,221.3298,28852,1918
"215",1,"run29",5,"Nigeria","NGA.12_1",30774,30774,0,55.3194,276.6492,0,276.6492,28852,1922
"216",1,"run29",6,"Nigeria","NGA.12_1",30801,30801,0,55.3842,332.0334,0,332.0334,28852,1949
"217",1,"run29",7,"Nigeria","NGA.12_1",30773,30773,0,55.071,387.1044,0,387.1044,28852,1921
