"country","who_region","classification","infections_mean","infections_min","infections_max","cases_mean","cases_min","cases_max","deaths_mean","deaths_min","deaths_max","dalys_mean","dalys_min","dalys_max"
"Myanmar","SoutheastAsia","Epidemic",443065.446634968,177391.26548072,770990.464479114,221532.723317484,88695.6327403602,385495.232239557,294.282650998515,116.623568897603,515.804439406205,13126.3985348518,5171.33600991077,23299.2127210662
"Namibia","Africa","Epidemic",14974.8573995833,0,39741.0625752698,7487.42869979166,0,19870.5312876349,10.8675658271778,0,29.2030229591926,538.052714301143,0,1463.21087800341
"Nepal","SoutheastAsia","Epidemic",228690.79617656,40450.6459344797,493594.01225637,114345.39808828,20225.3229672399,246797.006128185,156.068152603205,27.2002240266748,339.425963710838,7808.82872168428,1347.12177173822,17053.896900832
"Netherlands","Europe","NoTransmission",0,0,0,0,0,0,0,0,0,0,0,0
"New_Caledonia","WesternPacific","Epidemic",2174.5942820901,0,6319.99264004035,1087.29714104505,0,3159.99632002018,1.57988674986347,0,4.63768316557581,77.9931199451085,0,234.760446894848
"New_Zealand","WesternPacific","NoTransmission",0,0,0,0,0,0,0,0,0,0,0,0
"Nicaragua","Americas","Epidemic",36474.0183176453,0,105464.807390951,18237.0091588226,0,52732.4036954756,26.110859471671,0,76.4145965700122,1459.2514061589,0,4330.91032875937
"Niger","Africa","Epidemic",170409.183671094,34825.7529420348,367526.666082281,85204.591835547,17412.8764710174,183763.33304114,133.603473582716,26.8884251416544,296.068959838032,7096.8601431754,1413.71504945704,15947.8098516544
"Nigeria","Africa","Epidemic",1764892.8840944,1057951.72502977,2390596.02002995,882446.4420472,528975.862514885,1195298.01001498,1265.27847183227,750.505402089528,1727.85774932681,52711.6483154136,31022.030796453,72413.1516092262
"Norway","Europe","NoTransmission",0,0,0,0,0,0,0,0,0,0,0,0
"Oman","EasternMed","Epidemic",36403.5012673085,0,94259.0010058952,18201.7506336542,0,47129.5005029476,22.2520221785403,0,58.6497869426665,1274.54337035316,0,3398.148367993
"Pakistan","EasternMed","Epidemic",1946641.39954079,1354257.28441776,2671421.91546797,973320.699770393,677128.64220888,1335710.95773399,1354.93030558745,935.695153189362,1876.32071978782,69028.4101651573,47376.3915116385,95878.3924142374
"Panama","Americas","Epidemic",21963.7830711591,0,63661.0592430499,10981.8915355795,0,31830.5296215249,16.4245774392408,0,48.2773403273191,885.318021549124,0,2637.11546316108
"Papua_New_Guinea","WesternPacific","Epidemic",51252.0571282815,0,144086.207840581,25626.0285641408,0,72043.1039202905,34.4918905786151,0,99.5544555121187,1771.74860078219,0,5211.45069379054
"Paraguay","Americas","Epidemic",39509.090764477,0,117206.001990237,19754.5453822385,0,58603.0009951186,28.801767383248,0,87.1400099205081,1590.60626703048,0,4834.8545954587
"Peru","Americas","Endemic",248881.372284893,99863.9451432547,438530.773417217,124440.686142447,49931.9725716273,219265.386708608,183.964147801994,72.4582508252984,330.72605228223,9629.09583848094,3703.899293146,17729.3901542366
"Philippines","WesternPacific","Epidemic",915585.228425919,510700.255234943,1398702.05824146,457792.61421296,255350.127617471,699351.029120729,620.723227246989,346.153945780237,957.258865465173,32831.439580746,18178.6209761627,50994.1301412109
"Poland","Europe","NoTransmission",0,0,0,0,0,0,0,0,0,0,0,0
"Portugal","Europe","NoTransmission",0,0,0,0,0,0,0,0,0,0,0,0
"Puerto_Rico","Americas","Epidemic",17884.1379120215,0,47805.0638226951,8942.06895601076,0,23902.5319113475,15.3913591079329,0,41.3154419597012,533.773687465976,0,1490.06996079328
"Qatar","EasternMed","Epidemic",20809.3368562169,0,54551.3091055144,10404.6684281085,0,27275.6545527572,10.9496154360287,0,28.5314342422189,649.847064112838,0,1696.98046496391
"Romania","Europe","NoTransmission",0,0,0,0,0,0,0,0,0,0,0,0
"Russia","Europe","NoTransmission",0,0,0,0,0,0,0,0,0,0,0,0
"Rwanda","Africa","Endemic",143087.881409679,34748.5894433055,271457.263808056,71543.9407048396,17374.2947216528,135728.631904028,104.793970642952,24.6430881486386,205.36453663805,5858.62372425152,1351.51731648672,11689.6549932839
"Samoa","WesternPacific","NoTransmission",0,0,0,0,0,0,0,0,0,0,0,0
"Sao_Tome_and_Principe","Africa","NoTransmission",0,0,0,0,0,0,0,0,0,0,0,0
"Saudi_Arabia","EasternMed","Epidemic",257072.671428977,54360.6800096881,559936.332649214,128536.335714489,27180.340004844,279968.166324607,160.182818040882,33.4103005469918,352.940604112221,9154.8450208261,1888.63616380999,20397.767260655
"Senegal","Africa","Epidemic",114603.817778369,0,314906.627572899,57301.9088891847,0,157453.313786449,85.5448784938873,0,239.675025342395,4877.93228085302,0,13793.3812012097
"Serbia","Europe","NoTransmission",0,0,0,0,0,0,0,0,0,0,0,0
"Sierra_Leone","Africa","Epidemic",51484.1879372237,0,143934.88028873,25742.0939686119,0,71967.4401443648,37.6296282235699,0,107.958367046765,1831.00779404577,0,5338.50595881163
"Singapore","WesternPacific","Epidemic",49620.8566790102,0,134655.645877599,24810.4283395051,0,67327.8229387996,33.7869418330357,0,92.4507097285624,1520.40918539644,0,4230.84954616826
"Slovakia","Europe","NoTransmission",0,0,0,0,0,0,0,0,0,0,0,0
"Slovenia","Europe","NoTransmission",0,0,0,0,0,0,0,0,0,0,0,0
"Solomon_Islands","WesternPacific","NoTransmission",0,0,0,0,0,0,0,0,0,0,0,0
"Somalia","EasternMed","Epidemic",137467.547523494,0,356126.948493415,68733.7737617468,0,178063.474246708,101.397884767573,0,268.564097974604,4669.66577636933,0,12537.8001575521
"South_Africa","Africa","Epidemic",352656.699914641,138882.163274688,626070.756649588,176328.34995732,69441.0816373438,313035.378324794,247.971374358325,96.7411694279527,445.12613824248,11523.283871842,4444.5599972381,20868.3520278396
"South_Sudan","Africa","Epidemic",74405.5716784571,0,218442.404414806,37202.7858392285,0,109221.202207403,57.0465670990719,0,170.696342351412,2617.16815636151,0,7949.21683381756
"Spain","Europe","NoTransmission",0,0,0,0,0,0,0,0,0,0,0,0
"Sri_Lanka","SoutheastAsia","Epidemic",171321.186372959,33521.9903572363,368252.950662562,85660.5931864795,16760.9951786181,184126.475331281,122.784894552207,23.8431660162798,266.447515535559,5753.91605722287,1101.73246764571,12671.8520877699
